table_id,编  码,品目名称,说  明,品目类别
table_1,A01000000,房屋和构筑物,,货物
table_1,A01010000,房屋,,货物
table_1,A01010100,办公用房,包括办公室、服务用房、设备用房、附属用房等办公用房。,货物
table_1,A01010200,业务用房,,货物
table_1,A01010201,警察业务用房,包括公安、安全等业务工作用房。,货物
table_1,A01010202,检察业务用房,,货物
table_1,A01010203,司法业务用房,,货物
table_1,A01010204,法院业务用房,,货物
table_1,A01010205,纪委监委业务用房,,货物
table_1,A01010206,税务业务用房,,货物
table_1,A01010207,审计业务用房,,货物
table_1,A01010208,海关业务用房,,货物
table_1,A01010209,水利业务用房,包括水文监测、防汛抗旱测报值守等业务工作用房。,货物
table_1,A01010210,应急救援业务用房,包括消防用房等。,货物
table_1,A01010211,教育用房,包括大专院校、中等专业学校、中学、小学、幼儿园、托儿所、职业学校、业余学校、干校、党校、进修院校、工读学校、电视大学等从事教育所用的房屋。,货物
table_1,A01010212,医疗卫生用房,包括各类医院、门诊部、卫生所（站）、检（防)疫站、保健院（站）、疗养院、 医学化验、药品检验等医疗卫生机构从事医疗、保健、防疫、检验及医疗垃圾暂存所用的房屋。,货物
table_1,A01010213,科研用房,包括从事自然科学、社会科学等研究设计、开发所用的房屋。,货物
table_1,A01010214,文化用房,包括文化馆、图书馆、展览馆、博物馆、纪念馆等从事文化活动所用的房屋。,货物
table_1,A01010215,新闻用房,包括广播电视台、电台、出版社、报社、杂志社、通讯社、记者站等从事新闻出版所用的房屋。,货物
table_1,A01010216,娱乐用房,包括影剧院、游乐场、俱乐部、剧团等从事文娱演出所用的房屋。,货物
table_1,A01010217,园林绿化用房,包括公园、动物园、植物园、陵园、苗圃、花圃、花园、风景名胜、防护林等所用的房屋。,货物
table_1,A01010218,体育用房,包括体育场、馆、游泳馆等从事体育所用的房屋。,货物
table_1,A01010219,工业生产用房,包括独立设置的各类工厂、车间、手工作坊、发电厂等从事生产活动的房屋。,货物
table_1,A01010220,市政公用设施用房,包括自来水、泵站、污水处理、变电、气象、燃气、供热、垃圾处理、环卫、公厕、殡葬、消防等市政公用设施的房屋。,货物
table_1,A01010221,铁路用房,包括铁路系统从事铁路运输的房屋。,货物
table_1,A01010222,民航用房,包括民航系统从事民航运输的房屋。,货物
table_1,A01010223,航运用房,包括航运系统从事水路运输的房屋。,货物
table_1,A01010224,城市客运用房,包括城市公交运输、城市轨道交通、公共交通系统中从事城市客运的房屋。,货物
table_1,A01010225,公路运输用房,包括公路运输系统从事客、货运输、装卸、搬运的房屋。,货物
table_1,A01010226,仓储用房,包括用于储备、中转、外贸、供应等各种仓库、油库用房。,货物
table_1,A01010227,发行库用房,包括人民银行系统发行库及库务用房、钞票处理中心用房、武警用房、守卫押运中心用房、发行库安全保卫监控（指挥）中心用房等。,货物
table_1,A01010228,商业金融用房,包括商店、门市部、旅社、招待所、宾馆、中介、银行、储蓄所等从事商业和金融服务的房屋。,货物
table_1,A01010229,电讯信息用房,包括邮电、电讯部门、信息产业部门，从事电讯与信息工作所用的房屋。,货物
table_1,A01010230,监狱用房,包括监狱、看守所、改造场（所）等所用的房屋。,货物
table_1,A01010231,涉外用房,包括外国和国际组织驻华使领馆、办事处等涉外所用的房屋，以及境外办公用房。,货物
table_1,A01010299,其他业务用房,,货物
table_1,A01010300,宗教用房,包括寺庙、教堂等从事宗教活动所用的房屋。,货物
table_1,A01010400,军事用房,包括中国人民解放军和中国人民武装警察部队军事机关、营房、阵地、基地、机场、码头、工厂、学校等所用的房屋。,货物
table_1,A01010500,住宅,包括保障性住房；境外住宅；由若干卧室、起居室、厨房、卫生间、室内运道或客厅等组成的供一户使用的成套住宅；供居住的非成套住宅；供机关、学校、企事业单位的单身职工、学生居住的集体宿舍等房屋。,货物
table_1,A01019900,其他房屋,,货物
table_1,A01020000,构筑物,,货物
table_1,A01020100,池、罐,包括工业生产用池、罐，灌溉用池，水生动物饲养池，观赏鱼池及花池，沼气发生池，水利用池等。,货物
table_1,A01020200,槽,包括工业生产用槽、农业用槽、科研用槽等。,货物
table_1,A01020300,塔,包括工业用塔，农业用塔，广播电视用塔，交通航空用塔，气象、水利及环保用塔等。,货物
table_1,A01020400,烟囱,,货物
table_1,A01020500,井,包括水井、地热水井、矿井、科研用井等。,货物
table_1,A01020600,坑,包括原料坑、铸铁块坑、铸锭坑、修罐包坑、机车灰坑、机车检查坑、渣坑等。,货物
table_1,A01020700,台、站,旅客站台，货物站台，平台，转运站，煤台，上油台，料台，渣台，检查收费站，城市轨道交通车站，候车亭，雷达站等。,货物
table_1,A01020800,码头,包括直立式码头、栈桥式码头、斜坡式码头、浮式码头、简易式码头等。,货物
table_1,A01020900,道路,包括高速公路、一、二、三、四级公路、等外公路，城市道路，城市轨道交通正线、城市轨道交通配线、城市轨道交通车场线，生产用道路，内部道路，铁路正线，铁路站线，铁路段管线，铁路岔线，铁路专用线，特别用途线，铁路道岔，巷道，渠道，坑道，飞机滑行道，飞机跑道，飞机停机坪等。,货物
table_1,A01021000,隧道,包括铁路隧道，城市轨道交通线路、城市轨道交通道岔，公路隧道，电缆隧道，排灌隧道等。,货物
table_1,A01021100,沟,包括地沟、水沟、围厂河沟、渠沟、盐场引潮沟、盐场排淡沟、盐场落卤沟、盐场运盐沟等。,货物
table_1,A01021200,洞,包括铁路涵洞，公路涵洞，防空洞，隧洞，水工涵洞，放水洞，科学观测、监测洞体等。,货物
table_1,A01021300,廊,包括通廊等。,货物
table_1,A01021400,桥梁、架,包括公路桥梁，铁路桥梁，公路、铁路两用桥梁，市内立交桥，城市轨道交通桥梁，露天栈桥，吊车栈桥，洗涤塔支架，通道支架，落罐架，露天框架，凉水架，混凝土支架等。,货物
table_1,A01021500,航道,包含内河航道、沿海航道、锚地。,货物
table_1,A01021600,坝、堰及水道,包括水电站大坝，水库，堤坝，防洪堤，防波堤，尾矿坝，护坡，流量堰，溢、泄洪道，塘等。,货物
table_1,A01021700,闸,包括节制闸、进水闸、排水闸、分洪闸、挡潮闸、船闸、冲沙闸等。,货物
table_1,A01021800,水利管道,包括引水管道、排水管道、尾水管道、节水管道、倒吸虹等。,货物
table_1,A01021900,市政管道,包括采暖管道、天然气管道、电力管道、通信管道、给水管道、排水管道等。,货物
table_1,A01022000,库,包括飞机库、汽车库、船坞、粮库等。,货物
table_1,A01022100,仓,包括平房仓、立筒仓、浅圆仓、砖圆仓、地下仓、楼房仓、简易仓等。,货物
table_1,A01022200,场,包括露天原料场，废渣场，停车场（含立体停车场），晾晒场，露天体育场、训练场，雨量场等。,货物
table_1,A01022300,斗,包括料斗等。,货物
table_1,A01022400,罩棚,,货物
table_1,A01022500,墙,包括围墙等。,货物
table_1,A01022600,车位,,货物
table_1,A01029900,其他构筑物,,货物
table_1,A01030000,土地,,货物
table_1,A01030100,境外土地,,货物
table_1,A01039900,其他土地,,货物
table_1,A02000000,设备,,货物
table_1,A02010000,信息化设备,,货物
table_1,A02010100,计算机,,货物
table_1,A02010101,巨型计算机,,货物
table_1,A02010102,大型计算机,,货物
table_1,A02010103,中型计算机,,货物
table_1,A02010104,服务器,,货物
table_1,A02010105,台式计算机,,货物
table_1,A02010106,移动工作站,,货物
table_1,A02010107,图形工作站,,货物
table_1,A02010108,便携式计算机,,货物
table_1,A02010109,平板式计算机,,货物
table_1,A02010199,其他计算机,,货物
table_1,A02010200,网络设备,,货物
table_1,A02010201,路由器,,货物
table_1,A02010202,交换设备,包括以太网交换机等。,货物
table_1,A02010203,集线器,,货物
table_1,A02010204,光端机,,货物
table_1,A02010205,终端接入设备,,货物
table_1,A02010206,通信(控制)处理机,,货物
table_1,A02010207,通信控制器,,货物
table_1,A02010208,集中器,,货物
table_1,A02010209,终端控制器,,货物
table_1,A02010210,集群控制器,,货物
table_1,A02010211,多站询问单位,,货物
table_1,A02010212,网络接口,,货物
table_1,A02010213,通信适配器,包括异步、同步、多协议通信适配器等。,货物
table_1,A02010214,接口适配器,包括网络、设备接口适配器等。,货物
table_1,A02010215,光纤转换器,,货物
table_1,A02010216,网络收发器,,货物
table_1,A02010217,网络转发器,,货物
table_1,A02010218,网络分配器,,货物
table_1,A02010219,网关,,货物
table_1,A02010220,网桥,,货物
table_1,A02010221,协议分析器,,货物
table_1,A02010222,协议测试设备,,货物
table_1,A02010223,差错检测设备,,货物
table_1,A02010224,负载均衡设备,,货物
table_1,A02010299,其他网络设备,,货物
table_1,A02010300,信息安全设备,,货物
table_1,A02010301,防火墙,,货物
table_1,A02010302,入侵检测设备,,货物
table_1,A02010303,入侵防御设备,,货物
table_1,A02010304,漏洞扫描设备,,货物
table_1,A02010305,容灾备份设备,,货物
table_1,A02010306,网络隔离设备,,货物
table_1,A02010307,安全审计设备,,货物
table_1,A02010308,安全路由器,,货物
table_1,A02010309,计算机终端安全设备,包括加密狗、U 盾等。,货物
table_1,A02010310,网闸,,货物
table_1,A02010311,网上行为管理设备,,货物
table_1,A02010312,密码产品,,货物
table_1,A02010313,虚拟专用网（VPN）设备,,货物
table_1,A02010399,其他信息安全设备,,货物
table_1,A02010400,终端设备,,货物
table_1,A02010401,触摸式终端设备,,货物
table_1,A02010402,终端机,包括自助终端机。,货物
table_1,A02010499,其他终端设备,,货物
table_1,A02010500,存储设备,,货物
table_1,A02010501,磁盘机,,货物
table_1,A02010502,磁盘阵列,,货物
table_1,A02010503,存储用光纤交换机,,货物
table_1,A02010504,光盘库,,货物
table_1,A02010505,磁带机,,货物
table_1,A02010506,磁带库,,货物
table_1,A02010507,网络存储设备,,货物
table_1,A02010508,移动存储设备,包括闪存盘（优盘）、移动硬盘、软盘、光盘等。,货物
table_1,A02010599,其他存储设备,,货物
table_1,A02010600,机房辅助设备,,货物
table_1,A02010601,机柜,,货物
table_1,A02010602,机房环境监控设备,,货物
