keyword,count,category
物业管理服务,11373,服务
详见附件,6530,未分类
详见合同,5311,未分类
装修工程,4721,工程
房屋修缮,4658,工程
其他服务,3105,服务
其他建筑物、构筑物修缮,2875,工程
其他建筑工程,2020,工程
详见合同文本。,1873,未分类
修缮工程,1687,工程
无无,1578,未分类
无,1491,未分类
安全服务,1463,服务
触控一体机,1251,货物
其他不另分类的物品,1184,未分类
保安服务,1154,服务
台式计算机,1147,货物
见附件,1117,未分类
物业服务,1080,服务
详见合同附件,916,未分类
详见招标文件,708,未分类
服务,664,服务
电梯,645,货物
LED显示屏,643,货物
空调机,643,货物
/,631,未分类
详见附件。,594,未分类
1,589,未分类
工程,527,工程
餐饮服务,524,服务
审计服务,507,服务
彩色多普勒超声诊断仪,501,货物
教学专用仪器,497,货物
其他专业技术服务,494,服务
运行维护服务,481,服务
见合同,477,未分类
见附件合同,466,未分类
智慧黑板,440,货物
其他运行维护服务,440,服务
服务器,404,货物
法律服务,398,服务
园林绿化管理服务,395,服务
医疗设备,385,货物
城市规划和设计服务,352,服务
详见中标公告,349,未分类
其他系统集成实施服务,345,服务
城镇公共卫生服务,339,服务
工程设计服务,324,服务
互联网接入服务,321,服务
印刷服务,319,服务
货物,317,货物
行业应用软件开发服务,316,服务
测绘服务,309,服务
物业管理,308,服务
麻醉机,296,货物
图书,294,货物
台、桌类,290,货物
有机肥,288,货物
安保服务,272,服务
//,267,未分类
详见采购合同,262,未分类
办公家具,261,货物
信息系统集成（货物类）,259,货物
软件开发服务,255,服务
农林牧副渔服务,252,服务
视频会议会议室终端,250,货物
呼吸机,250,货物
医疗设备维修和保养服务,245,服务
全自动生化分析仪,240,货物
其他医疗设备,236,货物
硬件集成实施服务,236,服务
资产及其他评估服务,230,服务
其他计算机设备及软件,222,货物
工程施工,215,工程
软件运维服务,214,服务
施工,205,工程
蔬菜,201,货物
工程造价咨询服务,200,服务
抢险救援消防车,197,货物
车辆维修和保养服务,197,服务
详见成交公告,195,未分类
文化艺术服务,195,服务
其他货物,194,货物
体检服务,193,服务
"""物业管理服务,采购数量1;""",188,服务
网络接入服务,186,服务
保洁服务,183,服务
视频监控设备,182,货物
轿车,182,货物
资产评估服务,180,服务
血液透析机,179,货物
泡沫消防车,178,货物
车辆加油、添加燃料服务,177,服务
车辆加油服务,173,服务
有创呼吸机,173,货物
其他信息技术服务,172,服务
详见文件,170,未分类
办公桌,170,货物
农林牧渔业产品,166,货物
猪肉,164,货物
广告服务,163,服务
医疗卫生服务,162,服务
大米,161,货物
文物保护建筑修缮,161,工程
技术服务,159,服务
工程监理服务,157,服务
手术显微镜,154,货物
苗木,154,货物
流式细胞仪,153,货物
空调,152,货物
家具,151,货物
LED 显示屏,150,货物
柜类,148,货物
运维服务,148,服务
其他印刷服务,147,服务
农副食品，动、植物油制品,147,货物
组合家具,145,货物
劳务派遣服务,145,服务
计算机,142,货物
其他法律服务,140,服务
社会服务,139,服务
制服,137,货物
彩色多普勒超声诊断系统,137,货物
医用超声波仪器及设备,137,货物
食材,136,货物
展览服务,135,服务
食材配送服务,133,服务
彩色超声诊断系统,133,货物
详见附件合同,133,未分类
生物有机肥,132,货物
专用家具,131,货物
硬件运维服务,131,服务
其他社会服务,131,服务
技术测试和分析服务,129,服务
其他数据处理服务,127,服务
超声诊断仪,124,货物
教学设备,123,货物
正压式消防空气呼吸器,122,货物
住宿和餐饮服务,122,服务
其他建筑物施工,121,工程
房屋租赁服务,121,服务
台式电脑,120,货物
压缩空气泡沫消防车,118,货物
市政公共设施管理服务,117,服务
其他专业施工,117,工程
消防员灭火防护服,116,货物
消防车,115,货物
乘用车,115,货物
架类,114,货物
食材配送,114,服务
基础环境运维服务,114,服务
乘用车（轿车）,114,货物
水罐消防车,113,货物
临床检验设备,112,货物
食堂食材配送服务,112,服务
柴油,112,货物
医用内窥镜,111,货物
软件开发,111,服务
荧光定量PCR仪,110,货物
厨房设备,110,货物
便携式计算机,109,货物
数据加工处理服务,108,服务
1000000,108,未分类
公路工程施工,108,工程
彩色多普勒超声系统,108,货物
彩超,108,货物
"物业服务,采购数量1;",107,服务
劳务派遣,107,服务
消防设备,106,货物
具体内容详见投标文件,105,未分类
医疗设备一批,105,货物
照明设备,104,货物
软件集成实施服务,103,服务
维修改造,103,工程
详见合同内容,102,未分类
交通管理设备,102,货物
越野车,101,货物
专用车辆,101,货物
水污染治理服务,101,服务
无创呼吸机,101,货物
肉类,97,货物
道路硬化,96,工程
详见采购文件,95,未分类
其他专用仪器仪表,94,货物
图形工作站,94,货物
电脑,94,货物
运营服务,93,服务
电感耦合等离子体质谱仪,92,货物
环保监测设备,92,货物
太阳能路灯,91,货物
椅凳类,91,货物
核心交换机,90,货物
详见供货合同,90,未分类
专业技能培训服务,90,服务
600000,89,未分类
清扫服务,89,服务
X射线计算机体层摄影设备,89,货物
详见合同文件,89,未分类
实时荧光定量PCR仪,88,货物
职业中介服务,88,服务
