关键词,编码,品目名称
房屋和构筑物,A01000000,房屋和构筑物
办公用房,A01010100,办公用房
业务用房,A01010200,业务用房
警察业务用房,A01010201,警察业务用房
检察业务用房,A01010202,检察业务用房
司法业务用房,A01010203,司法业务用房
法院业务用房,A01010204,法院业务用房
纪委监委业务用房,A01010205,纪委监委业务用房
税务业务用房,A01010206,税务业务用房
审计业务用房,A01010207,审计业务用房
海关业务用房,A01010208,海关业务用房
水利业务用房,A01010209,水利业务用房
应急救援业务用房,A01010210,应急救援业务用房
教育用房,A01010211,教育用房
医疗卫生用房,A01010212,医疗卫生用房
科研用房,A01010213,科研用房
文化用房,A01010214,文化用房
新闻用房,A01010215,新闻用房
娱乐用房,A01010216,娱乐用房
园林绿化用房,A01010217,园林绿化用房
体育用房,A01010218,体育用房
工业生产用房,A01010219,工业生产用房
市政公用设施用房,A01010220,市政公用设施用房
铁路用房,A01010221,铁路用房
民航用房,A01010222,民航用房
航运用房,A01010223,航运用房
城市客运用房,A01010224,城市客运用房
公路运输用房,A01010225,公路运输用房
仓储用房,A01010226,仓储用房
发行库用房,A01010227,发行库用房
商业金融用房,A01010228,商业金融用房
电讯信息用房,A01010229,电讯信息用房
监狱用房,A01010230,监狱用房
涉外用房,A01010231,涉外用房
其他业务用房,A01010299,其他业务用房
宗教用房,A01010300,宗教用房
军事用房,A01010400,军事用房
其他房屋,A01019900,其他房屋
构筑物,A01020000,构筑物
池、罐,A01020100,池、罐
台、站,A01020700,台、站
桥梁、架,A01021400,桥梁、架
坝、堰及水道,A01021600,坝、堰及水道
水利管道,A01021800,水利管道
市政管道,A01021900,市政管道
其他构筑物,A01029900,其他构筑物
境外土地,A01030100,境外土地
其他土地,A01039900,其他土地
信息化设备,A02010000,信息化设备
计算机,A02010100,计算机
巨型计算机,A02010101,巨型计算机
大型计算机,A02010102,大型计算机
中型计算机,A02010103,中型计算机
服务器,A02010104,服务器
台式计算机,A02010105,台式计算机
移动工作站,A02010106,移动工作站
图形工作站,A02010107,图形工作站
便携式计算机,A02010108,便携式计算机
平板式计算机,A02010109,平板式计算机
其他计算机,A02010199,其他计算机
网络设备,A02010200,网络设备
路由器,A02010201,路由器
交换设备,A02010202,交换设备
集线器,A02010203,集线器
光端机,A02010204,光端机
终端接入设备,A02010205,终端接入设备
通信(控制)处理机,A02010206,通信(控制)处理机
通信控制器,A02010207,通信控制器
集中器,A02010208,集中器
终端控制器,A02010209,终端控制器
集群控制器,A02010210,集群控制器
多站询问单位,A02010211,多站询问单位
网络接口,A02010212,网络接口
通信适配器,A02010213,通信适配器
接口适配器,A02010214,接口适配器
光纤转换器,A02010215,光纤转换器
网络收发器,A02010216,网络收发器
网络转发器,A02010217,网络转发器
网络分配器,A02010218,网络分配器
协议分析器,A02010221,协议分析器
协议测试设备,A02010222,协议测试设备
差错检测设备,A02010223,差错检测设备
负载均衡设备,A02010224,负载均衡设备
其他网络设备,A02010299,其他网络设备
信息安全设备,A02010300,信息安全设备
防火墙,A02010301,防火墙
入侵检测设备,A02010302,入侵检测设备
入侵防御设备,A02010303,入侵防御设备
漏洞扫描设备,A02010304,漏洞扫描设备
容灾备份设备,A02010305,容灾备份设备
网络隔离设备,A02010306,网络隔离设备
安全审计设备,A02010307,安全审计设备
安全路由器,A02010308,安全路由器
计算机终端安全设备,A02010309,计算机终端安全设备
网上行为管理设备,A02010311,网上行为管理设备
密码产品,A02010312,密码产品
虚拟专用网（VPN）设备,A02010313,虚拟专用网（VPN）设备
其他信息安全设备,A02010399,其他信息安全设备
终端设备,A02010400,终端设备
触摸式终端设备,A02010401,触摸式终端设备
终端机,A02010402,终端机
其他终端设备,A02010499,其他终端设备
存储设备,A02010500,存储设备
磁盘机,A02010501,磁盘机
磁盘阵列,A02010502,磁盘阵列
存储用光纤交换机,A02010503,存储用光纤交换机
光盘库,A02010504,光盘库
磁带机,A02010505,磁带机
磁带库,A02010506,磁带库
网络存储设备,A02010507,网络存储设备
移动存储设备,A02010508,移动存储设备
其他存储设备,A02010599,其他存储设备
机房辅助设备,A02010600,机房辅助设备
机房环境监控设备,A02010602,机房环境监控设备
其他机房辅助设备,A02010699,其他机房辅助设备
信息化设备零部件,A02010700,信息化设备零部件
其他信息化设备,A02019900,其他信息化设备
办公设备,A02020000,办公设备
复印机,A02020100,复印机
投影仪,A02020200,投影仪
投影幕,A02020300,投影幕
多功能一体机,A02020400,多功能一体机
照相机及器材,A02020500,照相机及器材
数字照相机,A02020501,数字照相机
通用照相机,A02020502,通用照相机
静态视频照相机,A02020503,静态视频照相机
专用照相机,A02020504,专用照相机
特殊照相机,A02020505,特殊照相机
镜头及器材,A02020506,镜头及器材
其他照相机及器材,A02020599,其他照相机及器材
执法记录仪,A02020600,执法记录仪
电子白板,A02020700,电子白板
触控一体机,A02020800,触控一体机
刻录机,A02020900,刻录机
打印机,A02021000,打印机
A3黑白打印机,A02021001,A3黑白打印机
A3彩色打印机,A02021002,A3彩色打印机
A4黑白打印机,A02021003,A4黑白打印机
A4彩色打印机,A02021004,A4彩色打印机
3D打印机,A02021005,3D打印机
票据打印机,A02021006,票据打印机
条码打印机,A02021007,条码打印机
地址打印机,A02021008,地址打印机
其他打印机,A02021099,其他打印机
输入输出设备,A02021100,输入输出设备
绘图设备,A02021101,绘图设备
光电设备,A02021102,光电设备
LED显示屏,A02021103,LED显示屏
液晶显示器,A02021104,液晶显示器
阴极射线管显示器,A02021105,阴极射线管显示器
等离子显示器,A02021106,等离子显示器
KVM 设备,A02021107,KVM 设备
综合输入设备,A02021108,综合输入设备
鼠标器,A02021110,鼠标器
控制杆,A02021111,控制杆
刷卡机,A02021112,刷卡机
纸带输入机,A02021113,纸带输入机
磁卡读写器,A02021114,磁卡读写器
集成电路(IC)卡读写器,A02021115,集成电路(IC)卡读写器
非接触式智能卡读写机,A02021116,非接触式智能卡读写机
触摸屏,A02021117,触摸屏
扫描仪,A02021118,扫描仪
条码扫描器,A02021119,条码扫描器
高拍仪,A02021120,高拍仪
图形板,A02021121,图形板
坐标数字化仪,A02021123,坐标数字化仪
语音输入设备,A02021124,语音输入设备
手写式输入设备,A02021125,手写式输入设备
数据录入设备,A02021126,数据录入设备
其他输入输出设备,A02021199,其他输入输出设备
文印设备,A02021200,文印设备
速印机,A02021201,速印机
胶印机,A02021202,胶印机
装订机,A02021203,装订机
配页机,A02021204,配页机
折页机,A02021205,折页机
油印机,A02021206,油印机
其他文印设备,A02021299,其他文印设备
销毁设备,A02021300,销毁设备
碎纸机,A02021301,碎纸机
光盘粉碎机,A02021302,光盘粉碎机
硬盘粉碎机,A02021303,硬盘粉碎机
芯片粉碎机,A02021304,芯片粉碎机
综合销毁设备,A02021305,综合销毁设备
其他销毁设备,A02021399,其他销毁设备
会计机械,A02021400,会计机械
计算器,A02021401,计算器
其他会计机械,A02021499,其他会计机械
制图机械,A02021500,制图机械
打字机,A02021600,打字机
办公设备零部件,A02021700,办公设备零部件
其他办公设备,A02029900,其他办公设备
载货汽车,A02030100,载货汽车
牵引汽车,A02030200,牵引汽车
半挂牵引汽车,A02030201,半挂牵引汽车
全挂牵引汽车,A02030202,全挂牵引汽车
特种牵引车,A02030203,特种牵引车
其他牵引汽车,A02030299,其他牵引汽车
汽车挂车,A02030300,汽车挂车
汽车列车,A02030400,汽车列车
乘用车,A02030500,乘用车
越野车,A02030502,越野车
小型客车,A02030503,小型客车
中型客车,A02030504,中型客车
大型客车,A02030505,大型客车
其他乘用车,A02030599,其他乘用车
专用车辆,A02030600,专用车辆
厢式专用汽车,A02030601,厢式专用汽车
罐式专用汽车,A02030602,罐式专用汽车
多用途货车,A02030603,多用途货车
集装箱运输车,A02030604,集装箱运输车
科学考察车,A02030605,科学考察车
工程作业车,A02030606,工程作业车
雪地专用车,A02030607,雪地专用车
消防车,A02030609,消防车
布障车,A02030611,布障车
清障车,A02030612,清障车
排爆车,A02030613,排爆车
装甲防暴车,A02030614,装甲防暴车
水炮车,A02030615,水炮车
攀登车,A02030616,攀登车
全地形车,A02030617,全地形车
通信指挥车,A02030618,通信指挥车
交通划线车,A02030619,交通划线车
防弹车,A02030620,防弹车
医疗车,A02030621,医疗车
通信专用车,A02030622,通信专用车
抢险车,A02030623,抢险车
殡仪车,A02030624,殡仪车
运钞专用车,A02030625,运钞专用车
机动起重车,A02030626,机动起重车
垃圾车,A02030627,垃圾车
洒水车,A02030628,洒水车
街道清洗清扫车,A02030629,街道清洗清扫车
除冰车,A02030630,除冰车
扫雪车,A02030631,扫雪车
冷藏车,A02030632,冷藏车
炊事车,A02030633,炊事车
公共汽车,A02030634,公共汽车
有轨电车,A02030635,有轨电车
轨道交通车辆,A02030636,轨道交通车辆
其他专用车辆,A02030699,其他专用车辆
摩托车,A02030700,摩托车
两轮摩托车,A02030701,两轮摩托车
三轮摩托车,A02030702,三轮摩托车
其他摩托车,A02030799,其他摩托车
电动车辆,A02030800,电动车辆
电动两轮车,A02030801,电动两轮车
电动三轮车,A02030802,电动三轮车
电动多轮车,A02030803,电动多轮车
其他电动车辆,A02030899,其他电动车辆
轮椅车,A02030900,轮椅车
机动轮椅车（残疾人摩托车）,A02030901,机动轮椅车（残疾人摩托车）
电动轮椅车（道路型）,A02030902,电动轮椅车（道路型）
其他轮椅车,A02030999,其他轮椅车
非机动车辆,A02031000,非机动车辆
人力车,A02031001,人力车
畜力车,A02031002,畜力车
其他非机动车辆,A02031099,其他非机动车辆
车辆附属设施及零部件,A02031100,车辆附属设施及零部件
其他车辆,A02039900,其他车辆
图书档案设备,A02040000,图书档案设备
缩微设备,A02040100,缩微设备
缩微摄影机,A02040101,缩微摄影机
冲洗机,A02040102,冲洗机
拷贝机,A02040103,拷贝机
阅读器,A02040104,阅读器
阅读复印机,A02040105,阅读复印机
放大复印机,A02040106,放大复印机
胶片装片机,A02040107,胶片装片机
缩微品检索设备,A02040108,缩微品检索设备
胶片剪接设备,A02040109,胶片剪接设备
胶片洁片设备,A02040110,胶片洁片设备
缩微胶片扫描仪,A02040111,缩微胶片扫描仪
其他缩微设备,A02040199,其他缩微设备
图书档案消毒设备,A02040200,图书档案消毒设备
物理方法消毒设备,A02040201,物理方法消毒设备
化学方法消毒设备,A02040202,化学方法消毒设备
其他图书档案消毒设备,A02040299,其他图书档案消毒设备
图书档案保护设备,A02040300,图书档案保护设备
图书档案设备的零部件,A02040400,图书档案设备的零部件
其他图书档案设备,A02049900,其他图书档案设备
机械设备,A02050000,机械设备
内燃机,A02050100,内燃机
柴油内燃机,A02050101,柴油内燃机
汽油内燃机,A02050102,汽油内燃机
气体燃料内燃机,A02050103,气体燃料内燃机
其他内燃机,A02050199,其他内燃机
燃气轮机,A02050200,燃气轮机
汽轮机,A02050300,汽轮机
工业锅炉,A02050401,工业锅炉
民用锅炉,A02050402,民用锅炉
其他锅炉,A02050499,其他锅炉
水轮机,A02050500,水轮机
风力机,A02050600,风力机
潮汐动力机械,A02050700,潮汐动力机械
液压机械,A02050800,液压机械
液压缸,A02050801,液压缸
液压泵,A02050802,液压泵
液压阀,A02050803,液压阀
液压马达,A02050804,液压马达
液压管件,A02050805,液压管件
液力变矩器,A02050806,液力变矩器
液压元件,A02050807,液压元件
其他液压机械,A02050899,其他液压机械
金属加工设备,A02050900,金属加工设备
金属切削机床,A02050901,金属切削机床
锻压机械设备,A02050902,锻压机械设备
铸造设备,A02050903,铸造设备
增材制造设备,A02050904,增材制造设备
工业机械手,A02050905,工业机械手
工业机器人,A02050906,工业机器人
热处理设备,A02050907,热处理设备
金属切割设备,A02050908,金属切割设备
金属焊接设备,A02050909,金属焊接设备
金属表面处理设备,A02050910,金属表面处理设备
金属喷涂设备,A02050911,金属喷涂设备
粉末冶金设备,A02050912,粉末冶金设备
通用工业窑炉,A02050913,通用工业窑炉
其他金属加工设备,A02050999,其他金属加工设备
塑料压制液压机,A02051000,塑料压制液压机
成板机械,A02051100,成板机械
起重设备,A02051200,起重设备
轻小型起重设备,A02051201,轻小型起重设备
桥式起重机,A02051202,桥式起重机
门式起重机,A02051203,门式起重机
半门式起重机,A02051204,半门式起重机
浮式起重机,A02051205,浮式起重机
缆索起重机,A02051206,缆索起重机
门座式起重机,A02051207,门座式起重机
港口门座式起重机,A02051208,港口门座式起重机
塔式起重机,A02051209,塔式起重机
冶金起重机,A02051210,冶金起重机
铁路起重机,A02051211,铁路起重机
流动式起重机,A02051212,流动式起重机
甲板起重机,A02051213,甲板起重机
桅杆起重机,A02051214,桅杆起重机
悬臂起重机,A02051215,悬臂起重机
平衡式起重机,A02051216,平衡式起重机
起重滑车,A02051217,起重滑车
起重葫芦,A02051218,起重葫芦
绞车和绞盘,A02051219,绞车和绞盘
千斤顶,A02051220,千斤顶
悬挂单轨系统,A02051221,悬挂单轨系统
移动式吊运架,A02051222,移动式吊运架
跨运车,A02051223,跨运车
升船机,A02051224,升船机
滑模顶升机,A02051225,滑模顶升机
起重用吊斗、铲、抓斗和夹钳,A02051226,起重用吊斗、铲、抓斗和夹钳
自动扶梯,A02051228,自动扶梯
自动人行道,A02051229,自动人行道
其他起重设备,A02051299,其他起重设备
输送设备,A02051300,输送设备
带式输送机械,A02051301,带式输送机械
气动输送机,A02051302,气动输送机
螺旋输送机,A02051303,螺旋输送机
刮板输送机,A02051304,刮板输送机
埋刮板输送机,A02051305,埋刮板输送机
板式输送机,A02051306,板式输送机
悬挂输送机,A02051307,悬挂输送机
牵引链输送机械,A02051308,牵引链输送机械
斗式提升输送机,A02051309,斗式提升输送机
液力输送机,A02051310,液力输送机
振动输送机,A02051311,振动输送机
辊子输送机,A02051312,辊子输送机
升运机,A02051313,升运机
架空索道输送设备,A02051314,架空索道输送设备
机场输送设备,A02051315,机场输送设备
集装箱,A02051316,集装箱
集装箱输送设备,A02051317,集装箱输送设备
输送管道,A02051318,输送管道
斜坡绞车,A02051319,斜坡绞车
其他输送设备,A02051399,其他输送设备
给料设备,A02051400,给料设备
装卸设备,A02051500,装卸设备
堆取机械,A02051501,堆取机械
装船机,A02051502,装船机
装车机,A02051503,装车机
卸船机,A02051504,卸船机
卸车机,A02051505,卸车机
翻车机,A02051506,翻车机
原料混匀机,A02051507,原料混匀机
其他装卸设备,A02051599,其他装卸设备
仓储设备,A02051600,仓储设备
立体仓库设备,A02051601,立体仓库设备
其他仓储设备,A02051699,其他仓储设备
机械立体停车设备,A02051700,机械立体停车设备
气垫搬运装置,A02051800,气垫搬运装置
离心泵,A02051901,离心泵
混流泵,A02051902,混流泵
轴流泵,A02051903,轴流泵
往复泵,A02051904,往复泵
回转泵,A02051905,回转泵
旋涡泵,A02051906,旋涡泵
真空泵,A02051907,真空泵
其他泵,A02051999,其他泵
